
GOODS ID,Original ID,Ra,Dec,Survey,Spect. z,Quality flag
J033241.89-274512.1,GMASS1498, 03:32:41.897,-27:45:12.14,GMASS (Kurk et al. 2012),1.8478,0
J033225.81-274500.0,GMASS1592, 03:32:25.816,-27:45:00.03,GMASS (Kurk et al. 2012),0.8319,1
J033218.10-274455.1,GMASS1624, 03:32:18.103,-27:44:55.15,GMASS (Kurk et al. 2012),1.7166,0
J033241.56-274452.7,GMASS1652, 03:32:41.567,-27:44:52.76,GMASS (Kurk et al. 2012),1.3527,1
J033224.73-274450.2,GMASS1663, 03:32:24.735,-27:44:50.20,GMASS (Kurk et al. 2012),2.0249,1
J033240.97-274450.1,GMASS1667, 03:32:40.977,-27:44:50.17,GMASS (Kurk et al. 2012),1.6134,1
J033231.90-274444.9,GMASS1691, 03:32:31.901,-27:44:44.97,GMASS (Kurk et al. 2012),1.6119,1
J033226.44-274443.5,GMASS1704, 03:32:26.446,-27:44:43.55,GMASS (Kurk et al. 2012),1.0143,1
J033223.12-274442.0,GMASS1708, 03:32:23.122,-27:44:42.08,GMASS (Kurk et al. 2012),1.6069,1
J033227.12-274443.9,GMASS1711, 03:32:27.121,-27:44:43.99,GMASS (Kurk et al. 2012),2.3235,1
J033220.19-274438.9,GMASS1748, 03:32:20.194,-27:44:38.94,GMASS (Kurk et al. 2012),1.8668,1
J033231.83-274435.3,GMASS1789, 03:32:31.834,-27:44:35.32,GMASS (Kurk et al. 2012),1.8834,1
J033219.05-274429.8,GMASS1807, 03:32:19.054,-27:44:29.85,GMASS (Kurk et al. 2012),3.3561,0
J033226.16-274433.2,GMASS1808, 03:32:26.163,-27:44:33.20,GMASS (Kurk et al. 2012),1.6085,1
J033214.98-274407.9,GMASS1980, 03:32:14.986,-27:44:07.97,GMASS (Kurk et al. 2012),2.6734,1
J033226.76-274358.2,GMASS2055, 03:32:26.766,-27:43:58.23,GMASS (Kurk et al. 2012),1.6112,1
J033229.86-274354.9,GMASS2081, 03:32:29.865,-27:43:54.93,GMASS (Kurk et al. 2012),1.6011,1
J033225.75-274347.0,GMASS2092, 03:32:25.757,-27:43:47.01,GMASS (Kurk et al. 2012),1.2168,1
J033231.52-274350.8,GMASS2099, 03:32:31.527,-27:43:50.82,GMASS (Kurk et al. 2012),2.1934,1
J033230.08-274242.8,GMASS2107, 03:32:30.087,-27:42:42.87,GMASS (Kurk et al. 2012),1.8843,1
J033227.93-274245.7,GMASS2111, 03:32:27.936,-27:42:45.73,GMASS (Kurk et al. 2012),1.6102,1
J033222.01-274243.2,GMASS2113, 03:32:22.014,-27:42:43.28,GMASS (Kurk et al. 2012),1.6128,1
J033223.53-274249.3,GMASS2142, 03:32:23.540,-27:42:49.39,GMASS (Kurk et al. 2012),1.6098,1
J033236.28-274249.3,GMASS2148, 03:32:36.285,-27:42:49.39,GMASS (Kurk et al. 2012),1.6086,1
J033226.38-274321.5,GMASS2158, 03:32:26.382,-27:43:21.56,GMASS (Kurk et al. 2012),1.1097,1
J033229.24-274258.9,GMASS2161, 03:32:29.240,-27:42:58.94,GMASS (Kurk et al. 2012),2.5769,1
J033229.55-274255.9,GMASS2180, 03:32:29.555,-27:42:55.93,GMASS (Kurk et al. 2012),1.6077,1
J033236.65-274258.5,GMASS2196, 03:32:36.656,-27:42:58.52,GMASS (Kurk et al. 2012),1.6138,1
J033236.88-274303.8,GMASS2207, 03:32:36.882,-27:43:03.87,GMASS (Kurk et al. 2012),2.4488,1
J033241.23-274309.7,GMASS2235, 03:32:41.235,-27:43:09.80,GMASS (Kurk et al. 2012),1.2216,1
J033231.31-274316.1,GMASS2239, 03:32:31.315,-27:43:16.18,GMASS (Kurk et al. 2012),1.4151,1
